
83,Teodor,7482004314985
63,Maria,8416794373718
69,Pavel,5500641533058
33,Tudor,9157517138741
72,Geo,8414100615052
61,Matei,4116285008793
15,Ramona,8571470337755
12,Tania,3116063229081
13,Tudor,4657806791554
91,Matei,1887437961672
74,Teodor,8598103086960
85,Gabi,4425599855040
70,Ramona,9081652328327
57,Pavel,6202063535261
46,Pavel,4487642340511
73,Geo,1914564621746
5,Matei,3502526587389
87,Andrei,1737787357513
62,Pavel,1154797412420
10,Ramona,7839174031930
17,Nadia,3366529291315
29,Teodor,5581395130971
21,Pavel,4150671494458
